registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),make,model
2013.0,Third Party insurance,Diesel,5.0,150000.0,Second Owner,Manual,,21.8,1461.0,78.0,,5.0,Renault,Fluence
2020.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,17.1,1496.0,105.94,,10.99,Toyota,Yaris
2011.0,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,17.0,1497.0,307.0,,3.5,Honda,City
2019.0,Third Party insurance,Petrol,7.0,20000.0,First Owner,Manual,,20.0,999.0,72.0,,4.35,Renault,Triber
2012.0,Third Party insurance,Petrol,5.0,100000.0,Second Owner,Manual,,18.9,998.0,67.1,,1.86,Maruti,Wagon
2022.0,Third Party insurance,CNG,5.0,20000.0,First Owner,Manual,,20.88,1196.0,61.68,,6.25,Maruti,Eeco
2012.0,Third Party insurance,Diesel,5.0,120000.0,Second Owner,Manual,,19.01,1461.0,108.45,,4.5,Renault,Duster
2017.0,Third Party insurance,Diesel,5.0,80000.0,First Owner,Manual,,22.54,1396.0,88.73,,6.5,Hyundai,i20
2018.0,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,26.6,998.0,58.16,,3.5,Maruti,Wagon
2009.0,Third Party insurance,Petrol,5.0,50000.0,First Owner,Manual,,20.36,1197.0,78.9,,1.3,Hyundai,i10
2017.0,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,25.2,1248.0,74.0,,5.0,Maruti,Swift
2021.0,Third Party insurance,Diesel,7.0,10000.0,First Owner,Manual,,16.0,1493.0,74.96,,9.5,Mahindra,Bolero
2017.0,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,19.67,1582.0,126.2,,7.0,Hyundai,Creta
2009.0,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,17.8,1399.0,68.0,,1.4,Ford,Fiesta
2010.0,Third Party insurance,Diesel,7.0,120000.0,First Owner,Manual,,11.57,2179.0,138.1,,2.0,Tata,New
2018.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,24.04,999.0,67.0,,3.2,Renault,KWID
2011.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,20.36,1197.0,78.9,,2.0,Hyundai,i10
2015.0,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.6,1197.0,81.83,,4.1,Hyundai,i20
2016.0,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,21.21,1197.0,81.8,,4.4,Maruti,Swift
2022.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,14.1,1368.0,160.77,,25.0,Jeep,Compass
2020.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,21.01,1197.0,81.8,,6.3,Toyota,Glanza
2012.0,Third Party insurance,Diesel,5.0,150000.0,Fourth & Above Owner,Manual,,23.59,1364.0,,,2.0,Toyota,Etios
2018.0,Third Party insurance,Petrol,7.0,100000.0,Second Owner,Manual,,15.37,1196.0,73.0,,3.5,Maruti,Eeco
2016.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,27.4,1498.0,98.63,,4.0,Honda,Amaze
2011.0,Third Party insurance,Petrol,5.0,90000.0,First Owner,Manual,,18.6,1199.0,79.4,,1.5,Chevrolet,Beat
2016.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,27.4,1498.0,98.63,,4.25,Honda,Amaze
2016.0,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,26.59,1248.0,74.0,,4.25,Maruti,Swift
2017.0,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.0,Maruti,Swift
2016.0,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,21.21,1197.0,81.8,,4.6,Maruti,Swift
2017.0,Third Party insurance,Diesel,6.0,70000.0,First Owner,Manual,,25.32,1198.0,77.0,,3.3,Mahindra,KUV
2021.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,18.75,999.0,71.02,,4.7,Nissan,Magnite
2018.0,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Automatic,,17.6,1582.0,126.2,,11.5,Hyundai,Creta
2020.0,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,20.65,1462.0,103.25,,7.25,Maruti,Ciaz
2015.0,Third Party insurance,Diesel,5.0,80000.0,Third Owner,Manual,,21.19,1396.0,88.73,,4.0,Hyundai,i20
2013.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,24.0,1120.0,70.0,,2.5,Hyundai,Grand
2022.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,15.43,1498.0,108.49,,14.5,MG,Astor
2020.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,18.6,1197.0,81.83,,6.9,Hyundai,i20
2015.0,Third Party insurance,Petrol,5.0,120000.0,Fourth & Above Owner,Manual,,18.6,1197.0,81.83,,3.5,Hyundai,i20
2020.0,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,,998.0,,,3.42,Maruti,Celerio
2013.0,Third Party insurance,Diesel,7.0,80000.0,Third Owner,Manual,,20.77,1248.0,88.8,,4.25,Maruti,Ertiga
2014.0,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Automatic,,15.73,1968.0,174.33,,11.0,Audi,Q3
2022.0,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,20.09,1199.0,86.63,,6.0,Tata,Punch
2009.0,Third Party insurance,Petrol,5.0,150000.0,Third Owner,Manual,,18.5,1197.0,307.0,,1.5,Hyundai,i20
2004.0,Third Party insurance,Petrol,5.0,150000.0,Second Owner,Automatic,,10.1,2354.0,152.0,,1.7,Honda,CR-V
2011.0,Third Party insurance,CNG,5.0,70000.0,Fourth & Above Owner,Manual,,26.2,998.0,58.2,,1.6,Maruti,Wagon
2009.0,Third Party insurance,Petrol,5.0,150000.0,Second Owner,Manual,,18.5,1197.0,307.0,,1.4,Hyundai,i20
2011.0,Third Party insurance,Diesel,5.0,90000.0,Third Owner,Manual,,20.86,1199.0,75.0,,1.4,Skoda,Fabia
2021.0,Third Party insurance,Diesel,4.0,50000.0,Second Owner,Manual,,15.2,2184.0,130.0,,15.0,Mahindra,Thar
2011.0,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,18.9,998.0,67.1,,2.25,Maruti,Wagon
2019.0,Third Party insurance,Petrol,5.0,40000.0,Second Owner,Manual,,18.6,1197.0,81.86,,5.5,Hyundai,i20
2009.0,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,19.0,998.0,66.1,,1.4,Maruti,A-Star
2017.0,Third Party insurance,CNG,5.0,20000.0,First Owner,Manual,,26.6,998.0,58.16,,4.0,Maruti,Wagon
2018.0,Third Party insurance,Diesel,5.0,90000.0,First Owner,Manual,,22.0,1582.0,126.2,,9.0,Hyundai,Verna
2010.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,17.0,1497.0,307.0,,3.15,Honda,City
2013.0,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,22.7,1498.0,89.84,,3.5,Ford,Ecosport
2013.0,Third Party insurance,Petrol,5.0,100000.0,Second Owner,Manual,,21.1,814.0,55.2,,1.4,Hyundai,EON
2021.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,21.01,1197.0,81.8,,7.0,Maruti,Baleno
2020.0,Third Party insurance,Petrol,5.0,50000.0,First Owner,Automatic,,18.76,1462.0,103.26,,8.8,Toyota,Urban
2010.0,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Automatic,,13.2,1995.0,170.0,,10.0,BMW,3
2010.0,Third Party insurance,Petrol,5.0,120000.0,First Owner,Manual,,16.6,1197.0,85.0,,2.15,Maruti,Swift
2013.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,19.01,1461.0,108.45,,5.0,Renault,Duster
2012.0,Third Party insurance,Diesel,7.0,150000.0,Second Owner,Manual,,14.8,2405.0,80.0,,2.4,Chevrolet,Tavera
2016.0,Third Party insurance,Diesel,5.0,90000.0,Third Owner,Manual,,23.0,1248.0,88.7,,3.2,Tata,Zest
2012.0,Third Party insurance,Petrol,5.0,150000.0,Third Owner,Manual,,18.9,998.0,67.1,,2.0,Maruti,Wagon
2017.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,20.51,998.0,67.04,,4.0,Maruti,Wagon
2010.0,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,21.1,1248.0,73.9,,1.25,Maruti,Ritz
2018.0,Third Party insurance,Petrol,5.0,50000.0,First Owner,Manual,,18.6,1197.0,81.83,,5.0,Hyundai,i20
2017.0,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,27.28,1047.0,69.0,,3.8,Tata,Tiago
2011.0,Third Party insurance,Diesel,5.0,80000.0,First Owner,Manual,,25.44,936.0,57.6,,1.5,Chevrolet,Beat
2017.0,Third Party insurance,Diesel,5.0,60000.0,First Owner,Manual,,24.0,1186.0,73.97,,5.1,Hyundai,Grand
2011.0,Third Party insurance,Diesel,8.0,150000.0,Second Owner,Manual,,15.4,2179.0,307.0,,3.0,Mahindra,Scorpio
2015.0,Third Party insurance,Petrol,5.0,50000.0,Third Owner,Manual,,20.51,998.0,67.04,,2.5,Maruti,Wagon
2015.0,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,26.59,1248.0,74.0,,4.0,Maruti,Swift
2012.0,Third Party insurance,Diesel,5.0,90000.0,Second Owner,Manual,,22.32,1582.0,126.32,,3.7,Hyundai,Verna
,Third Party insurance,Electric,5.0,10500.0,First Owner,Automatic,,,,300.0,,96.8,Audi,e-tron
,Comprehensive,Petrol,5.0,45000.0,Second Owner,Automatic,,16.9,1395.0,147.51,,24.8,Audi,Q3
,Third Party insurance,Petrol,4.0,38000.0,First Owner,Automatic,,14.28,1998.0,254.7,,46.9,BMW,6
,Comprehensive,Petrol,5.0,49000.0,Second Owner,Automatic,,15.26,1798.0,187.74,,21.9,Audi,A6
,Zero Dep,Diesel,5.0,46000.0,Second Owner,Automatic,,18.25,1968.0,187.74,,22.9,Audi,A4
,Comprehensive,Diesel,5.0,29000.0,First Owner,Automatic,,15.73,1968.0,174.33,,13.9,Audi,Q3
,Comprehensive,Petrol,5.0,27000.0,First Owner,Automatic,,17.84,1395.0,147.51,,27.9,Audi,A4
,Comprehensive,Diesel,5.0,120000.0,Second Owner,Automatic,,13.0,2143.0,204.0,,11.9,Mercedes-Benz,E-Class
,Comprehensive,Diesel,7.0,70000.0,First Owner,Automatic,,12.07,2405.0,241.4,,36.9,Audi,Q7
